"EID","EventSourcePage","label"
"447","http://ewda.tw/","1"
"457","http://bambooculture.com/taxonomy/term/3411","1"
"460","http://investmentcommunity16888.blogspot.com/search/label/%E6%8A%95%E8%B3%87%E8%AC%9B%E5%BA%A7","1"
"463","http://www.chailease.org.tw/ugC_Activity.asp","1"
"464","https://www.ncu.edu.tw/events","1"
"475","https://ddyp.ddm.org.tw/activity.php","1"
"483","https://cheng-sing.com/productInformation","1"
"484","https://www.nmh.gov.tw/informationimgs_69.html","1"
"488","http://www.wsa.com.tw/index.php","1"
"491","http://www.xwtsc.com/","1"
"492","https://fantasystory.com.tw/ltp_all.php","1"
"499","https://cavesconnect.cavesbooks.com.tw/events/","1"
"511","https://ys.tcnr.gov.tw/news.php","1"
"512","http://www.psy.ntu.edu.tw/index.php/homepage/speech","1"
"518","https://www.ncl.edu.tw/activityhistorylist_238.html","1"
"519","http://www.khm.org.tw/tw/exhibition/currentexhibitions","1"
"523","https://www.ankecare.com/%e6%b4%bb%e5%8b%95%e8%b3%87%e8%a8%8a","1"
"526","https://www.chcsec.gov.tw/home","1"
"530","https://toybank.ntpc.gov.tw/toybank/volunteer.php","1"
"553","https://www.cksmh.gov.tw/exhibitionlist_107.html","1"
"564","http://www.twcenter.org.tw/archives/category/%e6%b4%bb%e5%8b%95%e6%b6%88%e6%81%af","1"
"569","https://www.nmtl.gov.tw/activitysoonlist_189.html","1"
"572","https://www.mocataipei.org.tw/tw/ExhibitionAndEvent","1"
"574","http://www.dadun.culture.taichung.gov.tw/TCDCCFrontend/Exhibition/Active","1"
"577","https://www.ukeas.com.tw/ukeasnews-overview.php","1"
"598","http://www.tpqc.com.tw/%e6%89%80%e6%9c%89%e8%aa%b2%e7%a8%8b/","1"
"601","https://chccp.e-land.gov.tw/%e5%b1%95%e6%bc%94%e8%88%87%e5%ad%b8%e7%bf%92/","1"
"607","https://ys.tcnr.gov.tw/activity_calendar.php","1"
"611","http://investmentcommunity16888.blogspot.com/search/label/%E6%9C%80%E6%96%B0%E8%AA%B2%E7%A8%8B%E8%B3%87%E8%A8%8A","1"
"619","https://www.sow.org.tw/event","1"
"639","https://eball.tw/events","1"
"654","https://www.ntmofa.gov.tw/activitysoonlist_1036.html","1"
"661","http://www.psygarden.com.tw/news.php","1"
"665","http://www.majisquare.com/event_list.php","1"
"678","https://www.orchina.net/events","1"
"720","https://erf.org.tw/eventlist/","1"
"721","https://www.ntcri.gov.tw/activitysoonlist_160.html","1"
"753","https://dac.tw/cmoaexhibition/","1"
"760","http://investmentcommunity16888.blogspot.com/search/label/%E8%A1%8D%E7%94%9F%E6%80%A7%E9%87%91%E8%9E%8D%E5%95%86%E5%93%81","1"
"768","http://www.parenting.tw/news.asp","1"
"776","http://www.guandu-natureart.tw/events","1"
"780","http://tw-toylibrary.org/new/event.php","1"
"784","https://www.chtf.org.tw/news","1"
"791","https://www.ntmofa.gov.tw/activitysoonlist_1037.html","1"
"795","http://www.cityyeast.com/passion3_list.php","1"
"796","https://www.nmh.gov.tw/activitysoonlist_66.html","1"
"823","https://eball.tw/events/netfriend","1"
"824","https://tydep-eew.com.tw/news.php","1"
"838","https://dac.tw/currentcoming/","1"
"848","https://www.ntmofa.gov.tw/informationlist_1074.html","1"
"856","http://jam.jutfoundation.org.tw/online-activity","1"
"884","http://www.sundaytour.com.tw/zh-tw/player/edm-list.php","1"
"888","https://dac.tw/others/","1"
"893","http://www.parenting.tw/campaign.asp","1"
"895","http://www.xwtsc.com/news.php","1"
"902","https://www.ukeas.com.tw/ukeasnews-event-list.php","1"
"906","https://activity.tipo.gov.tw/lp.asp?ctNode=817&CtUnit=169&BaseDSD=55&mp=1","1"
"907","http://www.asiaartcenter.org/asia/%E6%9C%80%E6%96%B0%E6%B6%88%E6%81%AF-2020/","1"
"908","https://www.artistvillage.org/event.php","1"
"909","https://taiwantrc.org/events/","1"
"913","https://www.ukeas.com.tw/webinars.php","1"
"927","https://www.ukeas.com.tw/ukeasnews-news-list.php","1"
"928","https://cheng-sing.com/blog","1"
"938","https://culture.skm.com.tw/home/cregister","1"
"952","http://www.ldatc.org.tw/news","1"
"957","https://fantasystory.com.tw/ltp_search.php","1"
"967","https://www.nmh.gov.tw/informationlist_204.html","1"
"969","http://www.gston.com.tw/product.php","1"
"975","http://www.khm.org.tw/tw/event","1"
"1003","https://www.nmtl.gov.tw/activitysoonlist_134.html","1"
"1024","https://culture.skm.com.tw/home/performance","1"
"1029","https://www.chimeimuseum.org/%E6%89%BE%E6%B4%BB%E5%8B%95/A891E828-042A-41F9-8B6F-D7F30E55FDC4/ls","1"
"1041","http://www.comedy.com.tw/","1"
"1048","http://investmentcommunity16888.blogspot.com/search/label/%E5%85%B6%E4%BB%96%E8%AA%B2%E7%A8%8B","1"
"1060","https://rice.furkid.org/category/%e6%b4%bb%e5%8b%95/","1"
"1062","https://e-info.org.tw/event","1"
"1079","https://www.nmth.gov.tw/exhibitionlist_236.html","1"
"1082","https://www.nmtl.gov.tw/activitysoonlist_191.html","1"
"1093","http://online.ktli.org.tw/news.php","1"
"1103","https://www.somategrity.com/products/all/1.htm","1"
"1104","https://dac.tw/announcement2/","1"
"1139","https://www.bopiliao.taipei/News","1"
"1153","https://www.ntmofa.gov.tw/activitysoonlist_1038.html","1"
"1161","https://dac.tw/events/","1"
"1174","https://www.ukeas.com.tw/comingevents.php","1"
"1183","http://www.chailease.org.tw/ugC_News.asp","1"
"1195","https://www.nmtl.gov.tw/activitysoonlist_188.html","1"
"1215","http://www.chi-nanchurch.tw/bulletin/events","1"
"1222","https://www.chimeimuseum.org/%E7%95%B6%E6%9C%9F%E5%B1%95%E8%A6%BD/4C579057-AAB3-4618-80B8-9F89975D0871","1"
"1243","http://investmentcommunity16888.blogspot.com/search/label/%E6%AD%A3%E7%B5%B1%E6%8A%80%E8%A1%93%E5%88%86%E6%9E%90","1"
"1255","https://conference.itl.nctu.edu.tw/history_conf_list.php","1"
"1265","https://www.nmtl.gov.tw/activitysoonlist_131.html","1"
"1272","https://www.wildviewtaiwan.org.tw/festival","1"
"1285","https://dac.tw/news/","1"
"1296","https://lkkpomia.tgb.org.tw/","1"
"1320","https://thecubespace.com/project-list/%e7%9b%ae%e5%89%8d%e5%b1%95%e8%a6%bd/","1"
"1325","http://www.khm.org.tw/tw/exhibition/permanentexhibitions","1"
"1337","http://bambooculture.com/event-all","1"
"1344","https://www.nmth.gov.tw/activityreglist_50.html","1"
"1349","https://vvg.com.tw/news","1"
"1365","http://taichung.trkmall.com.tw/event.html","1"
"1370","http://www.irun.com.tw/activity/activity-list.php","1"
"1381","https://www.cksmh.gov.tw/activitysoonlist_137.html","1"
"1384","https://www.nmtl.gov.tw/informationlist_121.html","1"
"1390","https://www.cksmh.gov.tw/activitysoonlist_369.html","1"
"1405","https://www.ntmofa.gov.tw/activitysoonlist_1052.html","1"
"1409","https://www.bopiliao.taipei/Event_News","1"
"1463","http://taiwangca.org/news/list","1"
"1468","https://library.hcml.gov.tw/lp.asp?BaseDSD=55&CtUnit=196&ctNode=817&mp=1","-1"
"1469","https://library.hcml.gov.tw/sp.asp?xdurl=onlinesign/onlinesign.asp&mp=1&ctNode=814","-1"
"1470","https://library.hcml.gov.tw/lp.asp?BaseDSD=54&CtUnit=211&ctNode=870&mp=1","-1"
"1471","https://library.hcml.gov.tw/lp.asp?CtNode=870&CtUnit=211&BaseDSD=54&mp=1","-1"
"1472","https://library.hcml.gov.tw/mp.asp?mp=1","-1"
"1473","https://library.hcml.gov.tw/lp.asp?CtNode=869&CtUnit=158&BaseDSD=7&mp=1","-1"
"1474","https://library.hcml.gov.tw/sp.asp?ctNode=814&mp=1&xdurl=onlinesign/onlinesign.asp","-1"
"1475","https://www.fishbar.com.tw/news/news_main","-1"
"1476","https://www.fishbar.com.tw/activity/act_list","-1"
"1477","https://www.fishbar.com.tw/activity/activity_home","-1"
"1478","http://soulangh.tnc.gov.tw/site/exhibition/joi4y19kSTY6MAZQkmDlJQ..","-1"
"1479","http://soulangh.tnc.gov.tw/site/exhibition/rj_PpBdvKZ-V46kaQZZ9_Q..","-1"
"1480","http://soulangh.tnc.gov.tw/site/news","-1"
"1481","https://makerpro.cc/event-home/","-1"
"1482","https://tour.xplova.com/tw/event","-1"
"1483","http://careernthu.conf.asia/com_explanation.aspx?lang=cht&pid=6&sid=","-1"
"1484","http://careernthu.conf.asia/sys_news_job.aspx?sid=&lang=cht&pid=407","-1"
"1485","http://careernthu.conf.asia/com_explanation.aspx?lang=cht","-1"
"1486","http://careernthu.conf.asia/sys_news.aspx?lang=cht","-1"
"1487","https://imc.ichiayi.com/index.php?g2p=3","-1"
"1488","https://imc.ichiayi.com/modules/tadnews/index.php?tag_sn=3","-1"
"1489","https://imc.ichiayi.com/index.php?g2p=8","-1"
"1490","https://imc.ichiayi.com/index.php?g2p=2","-1"
"1491","https://imc.ichiayi.com/modules/tadnews/index.php?ncsn=7","-1"
"1492","https://imc.ichiayi.com/modules/tadnews/index.php","-1"
"1493","https://imc.ichiayi.com/modules/tadnews/index.php?ncsn=4","-1"
"1494","https://imc.ichiayi.com/index.php?g2p=5","-1"
"1495","https://imc.ichiayi.com/modules/tadnews/index.php?ncsn=19","-1"
"1496","https://imc.ichiayi.com/index.php?g2p=6","-1"
"1497","https://imc.ichiayi.com/index.php?g2p=1","-1"
"1498","https://imc.ichiayi.com/index.php?g2p=7","-1"
"1499","https://imc.ichiayi.com/modules/tadnews/index.php?ncsn=2","-1"
"1500","https://imc.ichiayi.com/index.php?g2p=9","-1"
"1501","https://imc.ichiayi.com/modules/tadnews/index.php?ncsn=3","-1"
"1502","https://imc.ichiayi.com/index.php?g2p=4","-1"
"1503","https://imc.ichiayi.com/index.php?g2p=10","-1"
"1504","http://umkt.jutfoundation.org.tw/activity","-1"
"1505","http://umkt.jutfoundation.org.tw/news","-1"
"1506","http://umkt.jutfoundation.org.tw/news/59","-1"
"1507","https://mbscnn.org/QRY/MBQry_Class_01_v01.aspx?CLASS=349&PLACE=%E6%A1%83%E5%9C%92%E4%B8%AD%E5%BF%83","-1"
"1508","https://mbscnn.org/QRY/MBQry_Class_01_v01.aspx?PLACE=%E5%9C%8B%E5%A7%93%E7%A6%AA%E4%BF%AE%E4%B8%AD%E5%BF%83&CLASS=326/","-1"
"1509","https://mbscnn.org/QRY/MBQry_Class_01_v01.aspx?PLACE=%E5%A4%A7%E6%A8%B9%E7%A6%AA%E4%BF%AE%E4%B8%AD%E5%BF%83&CLASS=329","-1"
"1510","https://mbscnn.org/NewsList.aspx?CLASS=314","-1"
"1511","https://mbscnn.org/NewsList.aspx?CLASS=201","-1"
"1512","https://mbscnn.org/QRY/MBQry_Class_01_v01.aspx?PLACE=%E9%AB%98%E9%9B%84%E4%B8%AD%E5%BF%83&CLASS=323","-1"
"1513","https://mbscnn.org/NewsList.aspx?CLASS=413","-1"
"1514","https://mbscnn.org/NewsList.aspx?CLASS=202","-1"
"1515","https://mbscnn.org/NewsList.aspx?CLASS=203","-1"
"1516","https://mbscnn.org/NewsList.aspx?CLASS=402","-1"
"1517","https://mbscnn.org/QRY/MBQry_Class_01_v01.aspx?PLACE=%E5%8F%B0%E5%8C%97%E4%B8%AD%E5%BF%83&CLASS=317/","-1"
"1518","https://mbscnn.org/NewsList.aspx?CLASS=315","-1"
"1519","https://mbscnn.org/QRY/MBQry_Class_01_v01.aspx?CLASS=326&PLACE=%E5%9C%8B%E5%A7%93%E7%A6%AA%E4%BF%AE%E4%B8%AD%E5%BF%83/","-1"
"1520","https://mbscnn.org/QRY/MBQry_Class_01_v01.aspx?CLASS=329&PLACE=%E5%A4%A7%E6%A8%B9%E7%A6%AA%E4%BF%AE%E4%B8%AD%E5%BF%83","-1"
"1521","https://mbscnn.org/QRY/MBQry_Class_01_v01.aspx?CLASS=285","-1"
"1522","https://mbscnn.org/NewsList.aspx?CLASS=334","-1"
"1523","https://mbscnn.org/QRY/MBQry_Class_01_v01.aspx?CLASS=317&PLACE=%E5%8F%B0%E5%8C%97%E4%B8%AD%E5%BF%83","-1"
"1524","https://www.gearlab.com.tw/news.php","-1"
"1525","http://www.chailease.org.tw/ugC_Activity.asp?hidActivityCatID=11","-1"
"1526","https://bikexc.com/product-category/%e6%9c%80%e6%96%b0%e8%a1%8c%e7%a8%8b/","-1"
"1527","https://bikexc.com/product-category/%e5%85%a8%e9%83%a8%e8%a1%8c%e7%a8%8b/?product_orderby=date&product_view=list&product_order=desc/","-1"
